input num : 0.0, bin_trans num : 0
input num : -0.97424, bin_trans num : -0.96875
input num : -0.97493, bin_trans num : -0.96875
input num : -0.97561, bin_trans num : -0.96875
input num : -0.97628, bin_trans num : -0.96875
input num : -0.97694, bin_trans num : -0.9765625
input num : -0.97759, bin_trans num : -0.9765625
input num : -0.97823, bin_trans num : -0.9765625
input num : -0.97887, bin_trans num : -0.9765625
input num : -0.97949, bin_trans num : -0.9765625
input num : -0.9801, bin_trans num : -0.9765625
input num : -0.98071, bin_trans num : -0.9765625
input num : -0.98131, bin_trans num : -0.9765625
input num : -0.98189, bin_trans num : -0.9765625
input num : -0.98247, bin_trans num : -0.9765625
input num : -0.98304, bin_trans num : -0.9765625
input num : -0.9836, bin_trans num : -0.9765625
input num : -0.98415, bin_trans num : -0.9765625
input num : -0.98469, bin_trans num : -0.984375
input num : -0.98522, bin_trans num : -0.984375
input num : -0.98574, bin_trans num : -0.984375
input num : -0.98625, bin_trans num : -0.984375
input num : -0.98676, bin_trans num : -0.984375
input num : -0.98725, bin_trans num : -0.984375
input num : -0.98774, bin_trans num : -0.984375
input num : -0.98821, bin_trans num : -0.984375
input num : -0.98868, bin_trans num : -0.984375
input num : -0.98913, bin_trans num : -0.984375
input num : -0.98958, bin_trans num : -0.984375
input num : -0.99002, bin_trans num : -0.984375
input num : -0.99045, bin_trans num : -0.984375
input num : -0.99087, bin_trans num : -0.984375
input num : -0.99128, bin_trans num : -0.984375
input num : -0.99168, bin_trans num : -0.984375
input num : -0.99207, bin_trans num : -0.984375
input num : -0.99245, bin_trans num : -0.9921875
input num : -0.99282, bin_trans num : -0.9921875
input num : -0.99319, bin_trans num : -0.9921875
input num : -0.99354, bin_trans num : -0.9921875
input num : -0.99388, bin_trans num : -0.9921875
input num : -0.99422, bin_trans num : -0.9921875
input num : -0.99454, bin_trans num : -0.9921875
input num : -0.99486, bin_trans num : -0.9921875
input num : -0.99517, bin_trans num : -0.9921875
input num : -0.99546, bin_trans num : -0.9921875
input num : -0.99575, bin_trans num : -0.9921875
input num : -0.99603, bin_trans num : -0.9921875
input num : -0.9963, bin_trans num : -0.9921875
input num : -0.99656, bin_trans num : -0.9921875
input num : -0.99681, bin_trans num : -0.9921875
input num : -0.99705, bin_trans num : -0.9921875
input num : -0.99728, bin_trans num : -0.9921875
input num : -0.9975, bin_trans num : -0.9921875
input num : -0.99771, bin_trans num : -0.9921875
input num : -0.99792, bin_trans num : -0.9921875
input num : -0.99811, bin_trans num : -0.9921875
input num : -0.99829, bin_trans num : -0.9921875
input num : -0.99847, bin_trans num : -0.9921875
input num : -0.99863, bin_trans num : -0.9921875
input num : -0.99879, bin_trans num : -0.9921875
input num : -0.99894, bin_trans num : -0.9921875
input num : -0.99907, bin_trans num : -0.9921875
input num : -0.9992, bin_trans num : -0.9921875
input num : -0.99932, bin_trans num : -0.9921875
input num : -0.99943, bin_trans num : -0.9921875
input num : -0.99953, bin_trans num : -0.9921875
input num : -0.99962, bin_trans num : -0.9921875
input num : -0.9997, bin_trans num : -0.9921875
input num : -0.99977, bin_trans num : -0.9921875
input num : -0.99983, bin_trans num : -0.9921875
input num : -0.99988, bin_trans num : -0.9921875
input num : -0.99992, bin_trans num : -0.9921875
input num : -0.99996, bin_trans num : -0.9921875
input num : -0.99998, bin_trans num : -0.9921875
input num : -1.0, bin_trans num : -1.0
input num : -1.0, bin_trans num : -1.0
